ts_code,trade_date,Close,open,high,low,pre_close,change,pct_chg,Volume,amount
000001.SH,20150916,3152.26,2998.04,3182.93,2983.54,3005.17,147.091,4.8946,277525000,281992000
000001.SH,20150917,3086.06,3131.98,3204.7,3085.31,3152.26,-66.2021,-2.1001,317603000,337393000
000001.SH,20150918,3097.92,3100.28,3122.05,3070.34,3086.06,11.8561,0.3842,209175000,218442000
000001.SH,20150921,3156.54,3072.09,3159.88,3060.86,3097.92,58.6227,1.8923,239897000,259797000
000001.SH,20150922,3185.62,3161.32,3213.48,3152.48,3156.54,29.0788,0.9212,274786000,305071000
000001.SH,20150923,3115.89,3137.72,3164.04,3104.74,3185.62,-69.7306,-2.1889,236323000,257560000
000001.SH,20150924,3142.69,3126.49,3151.16,3109.69,3115.89,26.7988,0.8601,212888000,231369000
000001.SH,20150925,3092.35,3130.85,3149.95,3063,3142.69,-50.3399,-1.6018,236264000,248971000
000001.SH,20150928,3100.76,3085.57,3103.07,3042.31,3092.35,8.4089,0.2719,156728000,166422000
000001.SH,20150929,3038.14,3055.22,3068.3,3021.16,3100.76,-62.6191,-2.0195,163223000,169687000
000001.SH,20150930,3052.78,3052.84,3073.3,3039.74,3038.14,14.6446,0.482,146642000,156569000
000001.SH,20151008,3143.36,3156.07,3172.28,3133.13,3052.78,90.5759,2.967,234276000,258830000
000001.SH,20151009,3183.15,3146.64,3192.72,3137.79,3143.36,39.7943,1.266,234851000,256379000
000001.SH,20151012,3287.66,3193.54,3318.71,3188.41,3183.15,104.511,3.2832,386295000,435541000
000001.SH,20151013,3293.23,3262.16,3298.63,3253.25,3287.66,5.5677,0.1694,297153000,334806000
000001.SH,20151014,3262.44,3280.02,3307.32,3256.25,3293.23,-30.7887,-0.9349,295078000,330278000
000001.SH,20151015,3338.07,3255.03,3338.3,3254.39,3262.44,75.6316,2.3183,316284000,362566000
000001.SH,20151016,3391.35,3358.3,3393.02,3334.85,3338.07,53.2786,1.5961,395461000,459448000
